url,destinationUrl,title,status,brokenCheck,linkType,contentType,firstSourceUrl,direction
https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,fragment identifier - HTML: how to use a href to link to a file name that starts with # character - Stack Overflow,200,OK,StartUrl,text/html; charset=utf-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://cdn.sstatic.net/Sites/stackoverflow/Img/apple-touch-icon@2.png?v=73d79a89bded,https://cdn.sstatic.net/Sites/stackoverflow/Img/apple-touch-icon@2.png?v=73d79a89bded,apple-touch-icon@2.png (316×316),200,OK,MetaTag,image/png,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Outbound
https://stackoverflow.com/opensearch.xml,https://stackoverflow.com/opensearch.xml,,200,OK,Stylesheet,text/xml,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://stackoverflow.com/legal/privacy-policy,https://stackoverflow.com/legal/privacy-policy,Privacy Policy - Stack Overflow,200,OK,AHref,text/html; charset=utf-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://stackoverflow.com/feeds/question/64814860,https://stackoverflow.com/feeds/question/64814860,,200,OK,Stylesheet,application/atom+xml,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://stackoverflow.com/users/login,https://stackoverflow.com/users/login,Log In - Stack Overflow,200,OK,AHref,text/html; charset=utf-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://stackoverflow.com/legal/terms-of-service/public,https://stackoverflow.com/legal/terms-of-service/public,Public Network Terms of Service - Stack Overflow,200,OK,AHref,text/html; charset=utf-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://stackoverflow.co/,https://stackoverflow.co/,Empowering the world to develop technology through collective knowledge – Stack Overflow,200,OK,AHref,text/html; charset=UTF-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Outbound
https://stackoverflow.com/,https://stackoverflow.com/questions,Newest Questions - Stack Overflow,200,OK,ScriptSrc,text/html; charset=utf-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://stackoverflow.co/api-solutions/?utm_medium=referral&utm_source=stackoverflow-community&utm_campaign=top-nav&utm_content=overflow-api,https://stackoverflow.co/api-solutions/?utm_medium=referral&utm_source=stackoverflow-community&utm_campaign=top-nav&utm_content=overflow-api,Stack Overflow API solutions - Stack Overflow,200,OK,AHref,text/html; charset=UTF-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Outbound
https://stackoverflow.com/help,https://stackoverflow.com/help,Help Center - Stack Overflow,200,OK,AHref,text/html; charset=utf-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://stackoverflow.co/labs/?utm_medium=referral&utm_source=stackoverflow-community&utm_campaign=top-nav&utm_content=labs,https://stackoverflow.co/labs/?utm_medium=referral&utm_source=stackoverflow-community&utm_campaign=top-nav&utm_content=labs,Stack Overflow Labs - Stack Overflow,200,OK,AHref,text/html; charset=UTF-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Outbound
https://stackoverflow.com/users/login?ssrc=site_switcher&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions%2f64814860%2fhtml-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,https://stackoverflow.com/users/login?ssrc=site_switcher&returnurl=https%3a%2f%2fstackoverflow.com%2fquestions%2f64814860%2fhtml-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Log In - Stack Overflow,200,OK,AHref,text/html; charset=utf-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
https://meta.stackoverflow.com/,https://meta.stackoverflow.com/,Meta Stack Overflow,200,OK,AHref,text/html; charset=utf-8,https://stackoverflow.com/questions/64814860/html-how-to-use-a-href-to-link-to-a-file-name-that-starts-with-character,Internal
